bid,ask,yieldbid,yieldask,changeprice,cusip
102.6684024,103.7529362,1.519454831,1.503571906,-2.668402385,'912866JK8'
104.0348109,104.5805629,1.499498087,1.491672981,1.366408544,'912866JK8'
103.6967638,104.4837461,1.504386388,1.493055196,-0.3380471179,'912866JK8'
102.6559728,103.8324199,1.519638806,1.502420921,-1.040790974,'912866JK8'
103.2650723,104.2255454,1.510675357,1.496753982,0.6090994626,'912866JK8'
102.8236496,104.1799367,1.517160699,1.497409242,-0.4414227478,'912866JK8'
103.0294141,104.1354225,1.514130711,1.498049331,0.2057645425,'912866JK8'
102.6566111,104.0596774,1.519629358,1.499139762,-0.3728029955,'912866JK8'
102.6408154,103.4784477,1.519863218,1.507560303,-0.01579569496,'912866JK8'
102.4764046,103.8742926,1.522301652,1.501815281,-0.1644107987,'912866JK8'
102.8066032,104.4952533,1.517412259,1.492890778,0.3301986075,'912866JK8'
102.9129453,104.7790158,1.515844286,1.488847732,0.106342046,'912866JK8'
102.9341933,104.0224748,1.51553138,1.499675914,0.02124800387,'912866JK8'
103.7179828,104.6648513,1.504078616,1.490471711,0.7837895245,'912866JK8'
102.9714854,104.2677567,1.514982515,1.496148041,-0.7464973597,'912866JK8'
103.0308743,104.4902809,1.514109251,1.492961821,0.05938891936,'912866JK8'
102.6499665,103.7031562,1.519727725,1.504293656,-0.3809078678,'912866JK8'
103.4636528,104.3545226,1.507775879,1.494904065,0.8136863024,'912866JK8'
103.0451171,103.8913702,1.513899973,1.501568414,-0.4185356592,'912866JK8'
103.5418131,104.4153406,1.506637709,1.494033339,0.4966959329,'912866JK8'
102.3740906,103.8785425,1.52382306,1.501753838,-1.16772249,'912866JK8'
103.253548,104.9331124,1.510843966,1.486661326,0.8794574396,'912866JK8'
103.2528769,104.0754969,1.510853786,1.498911892,-0.0006710839138,'912866JK8'
102.2233487,103.3703225,1.526070139,1.509137209,-1.02952822,'912866JK8'
102.7342879,103.8060752,1.518480375,1.502802218,0.5109392189,'912866JK8'
102.8359424,104.091863,1.516979339,1.498676222,0.1016545065,'912866JK8'
102.3440926,103.9268476,1.524269706,1.501055826,-0.4918497895,'912866JK8'
102.9934759,103.7964804,1.514659046,1.502941134,0.6493832898,'912866JK8'
102.5255069,104.1167978,1.521572579,1.498317306,-0.4679689879,'912866JK8'
103.092659,104.8634208,1.513201827,1.487649352,0.5671520789,'912866JK8'
102.8919841,103.5986699,1.516153093,1.505810839,-0.2006748781,'912866JK8'
103.2592686,104.8207861,1.510760265,1.488254437,0.3672844968,'912866JK8'
101.9748764,103.6855025,1.529788567,1.50454978,-1.284392229,'912866JK8'
102.3749702,103.1333244,1.523809967,1.512605173,0.4000938256,'912866JK8'
102.2360322,103.64646,1.525880814,1.505116528,-0.138938075,'912866JK8'
102.4758489,103.9673384,1.522309907,1.500471229,0.239816725,'912866JK8'
102.9957657,104.9554055,1.514625372,1.48634555,0.5199168603,'912866JK8'
102.1933497,103.5191083,1.526518119,1.506968158,-0.8024160263,'912866JK8'
103.103882,104.5237502,1.513037114,1.492483762,0.9105322745,'912866JK8'
103.0465114,104.3906841,1.513879489,1.494386222,-0.05737057823,'912866JK8'
103.1555594,104.5259445,1.512279133,1.492452431,0.1090480088,'912866JK8'
102.579435,103.863115,1.520772657,1.501976905,-0.5761243753,'912866JK8'
101.8248913,102.9015657,1.532041901,1.516011918,-0.7545437869,'912866JK8'
102.0698641,102.7521443,1.528364923,1.518216491,0.2449728214,'912866JK8'
102.9567557,103.5622931,1.515199259,1.506339762,0.8868916361,'912866JK8'
102.3135602,103.3351086,1.524724578,1.509651483,-0.6431954704,'912866JK8'
102.4224317,103.2451443,1.523103849,1.510966943,0.1088714768,'912866JK8'
102.8148427,104.1102403,1.517290654,1.49841168,0.3924109974,'912866JK8'
102.9059987,104.3351855,1.515946611,1.495181125,0.0911559888,'912866JK8'
103.0862181,104.3907859,1.513296374,1.494384765,0.1802193487,'912866JK8'
101.747054,102.3315138,1.533213925,1.524457073,-1.339164047,'912866JK8'
101.6794603,102.9463112,1.534233162,1.515352985,-0.06759367026,'912866JK8'
