bid,ask,yieldbid,yieldask,changeprice,cusip
103.216893,105.0546737,1.191665399,1.170818924,-3.216893034,'912876O33'
103.8068081,105.1123327,1.184893383,1.170176675,0.5899150798,'912876O33'
104.0370227,105.8465115,1.182271434,1.162060027,0.2302145507,'912876O33'
103.1188621,103.9132701,1.192798267,1.183679427,-0.9181605586,'912876O33'
103.9583645,105.4962194,1.183165978,1.165918558,0.8395023729,'912876O33'
103.7638816,104.3100864,1.185383566,1.179176475,-0.194482841,'912876O33'
104.0762123,105.4792402,1.181826253,1.166106239,0.312330674,'912876O33'
103.3504338,105.1980167,1.190125629,1.169223564,-0.725778533,'912876O33'
103.8319571,104.9944423,1.184606391,1.171490579,0.4815233348,'912876O33'
103.213531,104.4554989,1.191704215,1.177534944,-0.6184260712,'912876O33'
103.1493028,104.5700252,1.192446256,1.176245293,-0.06422821741,'912876O33'
104.0423753,105.6654625,1.18221061,1.16405112,0.8930724861,'912876O33'
103.1365245,103.9395331,1.192593997,1.18338034,-0.9058507637,'912876O33'
103.8459994,105.6720912,1.184446206,1.1639781,0.7094748555,'912876O33'
102.8319388,103.6221638,1.196126431,1.187004744,-1.014060586,'912876O33'
103.704423,105.3188565,1.186063202,1.167882031,0.8724841742,'912876O33'
103.6372244,104.8124452,1.186832248,1.173524764,-0.06719856802,'912876O33'
103.8618262,104.5056063,1.184265716,1.17697035,0.2246017932,'912876O33'
103.5593062,105.3982175,1.187725223,1.167002658,-0.3025200442,'912876O33'
102.9365059,104.0882406,1.194911357,1.181689683,-0.6228002637,'912876O33'
102.7169625,103.7334788,1.197465316,1.185730985,-0.2195434021,'912876O33'
103.3500164,104.1239929,1.190130435,1.181283934,0.633053886,'912876O33'
102.7631436,104.1940167,1.196927183,1.180490051,-0.5868727588,'912876O33'
103.5149078,104.5385823,1.188234647,1.176599082,0.7517641848,'912876O33'
103.9281841,105.5388672,1.183509566,1.165447416,0.4132762341,'912876O33'
102.8668629,103.9584914,1.195720338,1.183164533,-1.061321189,'912876O33'
103.3026694,104.6895086,1.190675911,1.17490283,0.4358065792,'912876O33'
103.482793,104.7123677,1.188603403,1.174646345,0.180123592,'912876O33'
103.751666,105.721316,1.185523132,1.163436142,0.2688729288,'912876O33'
102.7915937,103.8600388,1.196595904,1.184286097,-0.9600722318,'912876O33'
103.4843445,105.1381676,1.188585584,1.169889136,0.6927507373,'912876O33'
102.7587681,104.5558734,1.196978149,1.1764045,-0.7255764,'912876O33'
103.2947317,104.8712138,1.190767409,1.172867134,0.5359635973,'912876O33'
102.4100165,103.0952123,1.201054391,1.193071892,-0.8847151653,'912876O33'
103.3403942,104.9066853,1.190241251,1.172470559,0.9303776566,'912876O33'
102.6521514,103.6283368,1.198221356,1.186934035,-0.6882428,'912876O33'
102.5363104,103.5052327,1.199575053,1.188345717,-0.1158409843,'912876O33'
102.5523311,103.7559312,1.199387656,1.185474398,0.01602071617,'912876O33'
103.7110106,105.6266615,1.185987865,1.164478724,1.158679491,'912876O33'
102.5486224,104.5432432,1.199431032,1.176546626,-1.162388207,'912876O33'
