bid,ask,yieldbid,yieldask,changeprice,cusip
98.0196685,99.13674142,5.111219081,5.053625859,1.980331497,'912837TZ9'
98.12272398,98.84718548,5.105850915,5.068429592,0.1030554812,'912837TZ9'
99.0335071,100.8812926,5.05889385,4.966232957,0.9107831172,'912837TZ9'
98.47373105,99.21110316,5.087651241,5.049838012,-0.5597760513,'912837TZ9'
98.64964167,99.67913377,5.078579015,5.026127145,0.1759106192,'912837TZ9'
98.72859679,100.4122751,5.07451758,4.989429821,0.07895511708,'912837TZ9'
99.52913788,101.2643315,5.033701795,4.94744786,0.8005410985,'912837TZ9'
99.59790262,100.7175065,5.030226408,4.97430901,0.06876474007,'912837TZ9'
99.21488088,100.1381194,5.049645734,5.003089764,-0.383021744,'912837TZ9'
98.90111501,100.6894217,5.065665842,4.975696471,-0.3137658712,'912837TZ9'
98.35252993,100.1968758,5.093920821,5.000155905,-0.5485850822,'912837TZ9'
99.56348875,101.4626675,5.031965094,4.937776747,1.210958823,'912837TZ9'
98.80568398,100.7949589,5.070558493,4.970486675,-0.7578047739,'912837TZ9'
99.43730533,101.1962175,5.03835053,4.95077793,0.6316213492,'912837TZ9'
98.22772905,99.82103016,5.100392779,5.018982465,-1.209576273,'912837TZ9'
98.51133424,100.0286503,5.085709212,5.008565029,0.2836051877,'912837TZ9'
99.44600403,100.4150322,5.037909817,4.989292829,0.9346697916,'912837TZ9'
99.63637095,100.3935505,5.028284302,4.990360413,0.1903669208,'912837TZ9'
99.22632353,101.2176361,5.049063416,4.949730298,-0.4100474264,'912837TZ9'
98.63054461,100.3012004,5.07956234,4.994955177,-0.5957789127,'912837TZ9'
99.62017432,101.5273724,5.02910182,4.934629824,0.9896297017,'912837TZ9'
98.53580373,99.66051003,5.084446272,5.027066386,-1.084370582,'912837TZ9'
99.15305419,100.4428078,5.052794431,4.987913131,0.6172504568,'912837TZ9'
98.3765776,98.90165018,5.092675637,5.065638431,-0.7764765921,'912837TZ9'
99.09044859,100.4880268,5.055986799,4.9856686,0.7138709916,'912837TZ9'
99.02307623,100.0651303,5.059426742,5.006739096,-0.06737235804,'912837TZ9'
98.91784412,100.3593295,5.06480913,4.992062046,-0.10523211,'912837TZ9'
98.6850317,100.1470862,5.076757755,5.002641803,-0.2328124269,'912837TZ9'
99.49295384,101.2894507,5.035532474,4.94622092,0.8079221397,'912837TZ9'
98.65689777,99.83331485,5.078205491,5.018364869,-0.8360560621,'912837TZ9'
99.07198273,99.60275718,5.056929176,5.029981239,0.4150849595,'912837TZ9'
99.20261595,99.81611736,5.050270048,5.019229492,0.1306332173,'912837TZ9'
99.07728892,99.83077783,5.056658347,5.018492402,-0.1253270347,'912837TZ9'
99.4070192,100.1682859,5.039885554,5.001583042,0.3297302844,'912837TZ9'
99.5611977,100.2720681,5.032080887,4.996406372,0.1541785008,'912837TZ9'
98.93178587,99.74759096,5.064095382,5.022677692,-0.6294118257,'912837TZ9'
99.83000401,101.613811,5.018531302,4.930432143,0.8982181387,'912837TZ9'
99.89657067,100.8229026,5.015187175,4.96910907,0.06656665582,'912837TZ9'
98.62335032,100.1847035,5.07993288,5.000763416,-1.273220349,'912837TZ9'
99.56052903,100.549599,5.032114683,4.982615593,0.9371787087,'912837TZ9'
99.09719499,100.0795767,5.055642595,5.006016378,-0.4633340405,'912837TZ9'
100.1059166,102.0771916,5.004699191,4.908050389,1.008721652,'912837TZ9'
99.13348767,100.7858461,5.053791729,4.970936094,-0.9724289729,'912837TZ9'
99.62378552,101.4461188,5.028919523,4.938582233,0.4902978534,'912837TZ9'
99.69644699,101.0502869,5.025254311,4.957927535,0.07266147148,'912837TZ9'
99.37201259,100.5234333,5.041660996,4.983912543,-0.3244344014,'912837TZ9'
99.57398628,101.0517777,5.031434602,4.957854393,0.201973684,'912837TZ9'
99.51798717,101.0386316,5.034265807,4.958499459,-0.055999101,'912837TZ9'
99.38336212,100.9915535,5.041085241,4.960810905,-0.1346250521,'912837TZ9'
98.89224791,99.81114869,5.06612005,5.019479353,-0.4911142075,'912837TZ9'
99.68252204,100.9771601,5.025956304,4.961518024,0.7902741212,'912837TZ9'
100.2652001,101.0100628,4.996748617,4.959901877,0.582678086,'912837TZ9'
98.91290485,100.0596965,5.065062044,5.007010989,-1.352295272,'912837TZ9'
99.31675915,101.2543295,5.044465851,4.947936571,0.4038542997,'912837TZ9'
100.2056001,101.4860831,4.999720568,4.936637464,0.8888409723,'912837TZ9'
100.2983549,102.0483882,4.995096883,4.909435699,0.09275479809,'912837TZ9'
99.31080009,101.1489923,5.04476854,4.953089385,-0.9875548294,'912837TZ9'
99.38819825,99.95325589,5.040839947,5.012342975,0.077398157,'912837TZ9'
99.06037975,100.3567231,5.057521496,4.992191699,-0.3278184958,'912837TZ9'
99.41404872,100.0172489,5.039529186,5.009135979,0.3536689724,'912837TZ9'
