bid,ask,yiledbid,yieldask,changeprice
99.87336992,101.5684955,9.912552273,9.747116913,0.1266300816
100.4488394,102.0549133,9.855763452,9.700659849,0.5754694699
99.80447842,101.6892918,9.919394557,9.735538353,-0.644360968
100.6122821,101.7548044,9.839752952,9.72927034,0.8078036955
100.4946186,101.0148232,9.851273772,9.800541827,-0.1176635603
100.6661046,102.4595553,9.834491992,9.662349174,0.1714860924
100.8832851,101.7328818,9.813320404,9.731366911,0.2171804388
100.7922664,102.5862863,9.822182152,9.650412699,-0.09101869476
100.622359,102.1172708,9.838767545,9.694736179,-0.1699073987
100.3804877,101.6356049,9.8624745,9.740680941,-0.2418713132
100.8758283,102.7402068,9.814045807,9.635954911,0.4953406444
100.9799163,101.7415908,9.803929692,9.730533914,0.1040880046
101.4921462,102.3856892,9.754449353,9.669320073,0.5122298906
101.2516222,102.927395,9.777621124,9.618430549,-0.2405240292
100.9358931,101.7661882,9.808205682,9.728181997,-0.315729108
100.2170689,100.9383717,9.878556723,9.807964835,-0.718824154
101.0627108,102.9043119,9.795897933,9.620588119,0.8456418929
100.8589459,101.9650911,9.815688547,9.709205267,-0.2037649316
100.8873973,102.7784239,9.812920409,9.632371876,0.02845141366
100.8763453,102.8527588,9.813995507,9.625410261,-0.01105195416
101.2953404,101.9122337,9.773401182,9.714241012,0.4189950936
101.1262533,102.0214992,9.789742702,9.703837014,-0.1690871614
101.1821402,102.5131862,9.784335442,9.65729421,0.05588687063
100.4976758,101.79364,9.850974086,9.725558494,-0.6844643574
100.7753092,102.0330363,9.823834904,9.702739781,0.2776334075
100.6634544,101.6395629,9.834750917,9.740301624,-0.1118548462
101.8953617,103.6362913,9.715849505,9.552638247,1.231907394
100.8379286,102.0128675,9.817734392,9.704658094,-1.057433109
100.6513918,102.018268,9.835929563,9.704144358,-0.1865368571
101.3360858,102.448522,9.769471478,9.663389775,0.6846940266
101.038411,102.8143071,9.798253859,9.629010086,-0.2976748592
100.8816908,102.4443591,9.813475491,9.663782453,-0.1567201623
101.6102592,103.485248,9.743110667,9.566580925,0.7285683783
101.2481223,101.8366982,9.777959111,9.721446368,-0.3621368557
100.8428182,102.5515706,9.817258358,9.653679553,-0.405304088
100.9362459,102.9150619,9.808171401,9.619583192,0.09342764107
101.4775528,102.3796625,9.755852134,9.669889268,0.5413069329
102.1986335,103.3988788,9.687017978,9.574571909,0.7210806956
101.0450703,101.8984805,9.79760811,9.715552136,-1.153563214
101.8087975,103.6207474,9.724110529,9.554071217,0.7637272488
101.9124341,103.1434223,9.714221908,9.598285354,0.1036365739
101.5478349,102.3262655,9.749100028,9.67493532,-0.364599213
102.0763837,102.8865369,9.698619449,9.622250199,0.5285487926
101.4389843,103.4096068,9.759561447,9.573578612,-0.6373994238
101.5374062,102.8182505,9.750101339,9.628640779,0.09842193265
101.8030788,102.656959,9.724656778,9.643769007,0.2656725783
102.4367741,104.2955941,9.664498015,9.492251413,0.6336953358
102.234733,103.1666161,9.683597457,9.596127482,-0.2020411497
102.7202049,104.065469,9.637831244,9.513242094,0.4854719279
102.610332,104.0549461,9.648151223,9.514204152,-0.1098729054
101.9077178,103.1087972,9.714671479,9.601508567,-0.7026141375
102.234498,103.3416381,9.683619713,9.579875244,0.3267801434
102.5995552,104.3324518,9.649164638,9.488898068,0.3650572304
101.7116878,103.0355588,9.733394667,9.608333392,-0.8878673678
101.6327031,102.260671,9.740959057,9.681141248,-0.07898471993
102.0939326,103.4142312,9.696952351,9.573150506,0.4612294974
102.3215913,103.6462155,9.675377282,9.551723575,0.2276586848
101.804459,103.3053756,9.724524935,9.583237994,-0.5171323135
102.9699674,104.533828,9.614453855,9.470618452,1.165508404
101.7700396,102.8381342,9.727813841,9.626779089,-1.199927782
102.8287357,103.7646144,9.627658969,9.540824742,1.058696132
102.6123975,103.6345308,9.647957009,9.552800519,-0.2163382158
102.8967179,104.7097673,9.621298132,9.454705377,0.2843203991
103.1508481,103.7583938,9.597594376,9.541396735,0.2541302095
102.4178353,103.6656086,9.666285143,9.549936702,-0.7330128108
102.85459,104.4294039,9.625238889,9.480088584,0.4367547122
102.1191323,103.329231,9.694559462,9.581025531,-0.7354577675
102.2536634,103.0441062,9.681804707,9.607536391,0.1345311663
102.6593507,104.605076,9.643544335,9.46416788,0.4056872764
102.672574,104.4236545,9.642302338,9.480610544,0.01322325094
103.417436,104.667587,9.572853846,9.458515554,0.7448620335
102.9899365,103.9297392,9.612589673,9.525666162,-0.4274995007
102.644396,104.2236341,9.644949343,9.49880522,-0.3455404805
103.4512223,104.6555744,9.569727434,9.459601224,0.8068262624
102.1303536,102.7807086,9.693494294,9.632157764,-1.320868666
102.3698005,103.3080056,9.670820842,9.582994021,0.2394468588
102.4014259,103.4329432,9.667834131,9.571418638,0.03162538929
102.3439432,103.1497238,9.673264178,9.597698995,-0.05748262513
102.5582308,103.7268167,9.653052637,9.544301384,0.2142875309
102.3943208,102.9672547,9.668504976,9.614707149,-0.1639099891
103.6993664,105.5619564,9.546827858,9.378378665,1.305045615
103.1877424,104.9708208,9.5941628,9.43119233,-0.5116239518
102.9391235,103.819757,9.617334657,9.535757242,-0.2486189448
103.7585055,105.3163521,9.541386469,9.400249632,0.8193819601
102.8289874,104.4935896,9.627635404,9.474265397,-0.9295180211
102.8686935,104.0678537,9.62391925,9.513024095,0.03970610352
103.0271521,105.0191779,9.609117398,9.426849648,0.1584585839
102.8631231,104.390016,9.62444042,9.483665564,-0.1640289923
103.3293121,104.2722753,9.581018007,9.494374199,0.4661889799
102.573365,103.5763835,9.651628376,9.558163421,-0.7559471401
103.1774164,103.8130787,9.59512299,9.536370678,0.6040514099
103.5083751,104.6775787,9.564443445,9.457612725,0.330958746
103.5008616,105.4128728,9.565137767,9.39164235,-0.007513548607
103.7367491,105.4970061,9.54338755,9.384152558,0.2358875377
103.2167686,104.6981986,9.591464775,9.45575008,-0.5199805435
104.0174687,105.068142,9.517632107,9.422456523,0.8007001476
103.9225312,104.8914019,9.526326861,9.438333194,-0.09493756877
102.8722414,103.4179438,9.623587336,9.572806839,-1.050289706
103.754742,105.1137123,9.541732563,9.418371576,0.8825005175
103.4131383,104.4550958,9.573251677,9.477756851,-0.3416036294
104.0638949,105.0480687,9.513385988,9.424257027,0.6507566051
104.3442156,105.1997328,9.487828287,9.410670294,0.2803206154
103.9639309,105.933703,9.522533359,9.345467699,-0.3802846749
103.1451616,103.7929678,9.598123502,9.538218442,-0.8187692494
103.9597357,104.8830532,9.52291763,9.43908448,0.814574076
103.0187419,103.789977,9.609901868,9.538493296,-0.9409938303
103.7341196,104.8738816,9.543629461,9.439909965,0.7153777331
103.7419174,105.6495738,9.542912112,9.370600984,0.00779777876
103.2885971,104.975526,9.584794721,9.430769611,-0.453320315
104.6029965,105.5861373,9.46435602,9.376230869,1.314399462
103.4794572,104.418019,9.567116287,9.481122216,-1.123539379
103.6340319,105.5464365,9.552846507,9.379757693,0.1545747791
104.0721548,105.5063644,9.512630938,9.383320194,0.4381229078
103.358907,104.5143228,9.57827466,9.472385919,-0.7132478274
104.2529741,105.1195628,9.496131966,9.417847389,0.8940670915
103.273161,104.6304431,9.586227347,9.461873335,-0.9798131351
104.087204,104.6150363,9.511255582,9.463266798,0.8140430146
103.751582,105.2420555,9.542023172,9.406885825,-0.3356219415
103.6977393,105.3839047,9.546977652,9.394223938,-0.05384271508
